Open,High,Low,Close,Adj Close,Volume,Year,Month,Day
18.68,18.700001,18.030001,18.059999,18.059999,58764200,2012,Aug,1
18.08,18.27,17.549999,17.73,17.73,46622400,2012,Sep,2
18.27,18.75,18.18,18.58,18.58,60781800,2012,Sep,3
18.74,19.26,18.719999,18.959999,18.959999,46066500,2012,Sep,4
19.1,19.42,18.780001,18.98,18.98,36371700,2012,Sep,5
19.059999,19.200001,18.549999,18.809999,18.809999,24797800,2012,Sep,6
18.92,19.58,18.85,19.43,19.43,50508200,2012,Sep,7
20.76,21.16,20.280001,20.93,20.93,121584000,2012,Sep,8
20.959999,21.48,20.610001,20.709999,20.709999,65041600,2012,Sep,9
21.129999,22.08,20.9,22,22,72819800,2012,Sep,10
22.67,22.75,21.5,21.52,21.52,50667600,2012,Sep,11
21.6,21.98,21.370001,21.870001,21.870001,36760500,2012,Sep,12
21.99,23.370001,21.77,23.290001,23.290001,78782800,2012,Sep,13
23.02,23.24,22.540001,22.59,22.59,57248900,2012,Sep,14
22.969999,23.24,22.6,22.860001,22.860001,51218100,2012,Sep,15
21.780001,21.98,20.360001,20.790001,20.790001,79106500,2012,Sep,16
21.200001,21.209999,20.219999,20.280001,20.280001,46291700,2012,Sep,17
20.15,20.780001,19.799999,20.620001,20.620001,38271900,2012,Sep,18
20.99,21,20.16,20.32,20.32,30215900,2012,Sep,19
20.57,21.950001,20.5,21.66,21.66,65486000,2012,Sep,20
22.08,22.59,21.73,21.99,21.99,51262700,2012,Oct,21
22.08,22.49,21.82,22.27,22.27,29341400,2012,Oct,22
22.299999,22.49,21.799999,21.83,21.83,32000100,2012,Oct,23
22.32,22.4,21.41,21.950001,21.950001,46892100,2012,Oct,24
21.49,21.629999,20.879999,20.91,20.91,40529300,2012,Oct,25
20.4,20.75,20.16,20.4,20.4,32236700,2012,Oct,26
20.389999,20.549999,19.969999,20.23,20.23,27161800,2012,Oct,27
19.93,19.940001,19.450001,19.639999,19.639999,39321800,2012,Oct,28
19.879999,19.959999,19.610001,19.75,19.75,21817300,2012,Oct,29
19.75,19.799999,19.48,19.52,19.52,18809400,2012,Oct,30
19.68,19.879999,19.49,19.52,19.52,20189700,2012,Oct,31
19.68,19.690001,19.299999,19.48,19.48,21834700,2012,Oct,32
19.5,20.48,19.370001,19.879999,19.879999,44074500,2012,Oct,33
19.700001,19.790001,18.889999,18.98,18.98,52157400,2012,Oct,34
19,19.059999,18.799999,19,19,34835000,2012,Oct,35
19.200001,19.43,19.049999,19.32,19.32,32447300,2012,Oct,36
19.25,19.799999,19.1,19.5,19.5,78381200,2012,Oct,37
24.129999,24.25,22.85,23.23,23.23,228949900,2012,Oct,38
23.290001,23.309999,22.469999,22.559999,22.559999,76142000,2012,Oct,39
22.4,22.879999,21.879999,21.940001,21.940001,73175800,2012,Oct,40
20.82,21.5,20.73,21.110001,21.110001,99378200,2012,Oct,41
21.08,21.440001,21.01,21.209999,21.209999,37713900,2012,Nov,42
21.26,21.690001,21.07,21.18,21.18,38344400,2012,Nov,43
21.1,21.48,20.92,21.25,21.25,31806700,2012,Nov,44
21.24,21.370001,20.99,21.17,21.17,29062700,2012,Nov,45
